name,cores,cpu_mark,thread_mark,TDP,Socket,Category
AMD 3015e,2,2709,1340,6,Unknown,Laptop
AMD 3020e,2,2435,1406,6,Unknown,Laptop
AMD A10 Micro-6700T APU,4,1426,722,5,FT3b,Laptop
AMD A10 PRO-7350B APU,4,1915,917,19,FP3,Laptop
AMD A10-4600M APU,2,1938,1078,35,FS1r2,Laptop
AMD A10-4655M APU,2,1658,909,25,FP2,Laptop
AMD A10-4657M APU,4,1759,940,35,FP2,Laptop
AMD A10-5745M APU,4,1782,945,25,FP2,Laptop
AMD A10-5750M APU,4,2053,1166,35,FS1r2,Laptop
AMD A10-5757M APU,4,1998,1151,35,FP2,Laptop
AMD A10-7300 APU,4,1742,863,19,FP3,Laptop
AMD A10-7400P,4,2100,1040,35,FP3,Laptop
AMD A10-8700P,2,2245,1146,35,FP4,Laptop
AMD A10-9600P,4,2332,1142,15,FP4,Laptop
AMD A10-9620P,4,2538,1267,15,Unknown,Laptop
AMD A10-9630P,4,2940,1394,35,FP4,Laptop
AMD A12-9700P,4,2428,1208,15,FP4,Laptop
AMD A12-9720P,4,2656,1314,15,FP4,Laptop
AMD A12-9730P,4,2980,1386,35,FP4,Laptop
AMD A4 Micro-6400T APU,4,1082,540,4.5,FT3b,Laptop
AMD A4 PRO-3340B,4,1645,676,25,BGA769 (FT3),Laptop
AMD A4-1200 APU,2,369,303,3.9,FT3,Laptop
AMD A4-1250 APU,2,406,329,8,FT3,Laptop
AMD A4-1350 APU,4,911,345,8,FT3,Laptop
AMD A4-3300M APU,2,714,790,65,FM1,Laptop
AMD A4-3305M APU,2,751,830,35,FS1,Laptop
AMD A4-3310MX APU,2,782,832,45,FS1,Laptop
AMD A4-3320M APU,2,668,708,35,FS1,Laptop
AMD A4-3330MX APU,2,756,908,45,FS1 uPGA,Laptop
AMD A4-4300M APU,1,1000,1014,35,FS1,Laptop
AMD A4-4355M APU,2,806,813,17,FP2,Laptop
AMD A4-5000 APU,4,1290,505,15,FT3,Laptop
AMD A4-5050 APU,4,1328,538,13.5,FT3,Laptop
AMD A4-5100 APU,4,1346,540,15,FT3,Laptop
AMD A4-5150M APU,2,765,800,35,FS1r2,Laptop
AMD A4-6210 APU,4,1494,607,15,FT3b,Laptop
AMD A4-6250J APU,4,1671,695,25,Unknown,Laptop Mobile/Embedded
AMD A4-7210 APU,4,1656,725,25,BGA,Laptop
AMD A4-9120,2,1217,1050,15,BGA,Laptop
AMD A4-9120C,2,850,889,6,FT4,Laptop
AMD A4-9120e,2,851,744,NA,FT4,Laptop
AMD A4-9125,2,1211,1044,15,BGA (FT4),Laptop
AMD A6 Micro-6500T APU,4,1146,630,NA,Unknown,Laptop
AMD A6 PRO-7050B APU,2,1010,866,17,FP3,Laptop
AMD A6-1450 APU,4,1072,460,8,FT3,Laptop
AMD A6-3400M APU,4,1193,692,35,FS1,Laptop
AMD A6-3410MX APU,4,1263,732,45,FS1,Laptop
AMD A6-3420M APU,4,1293,772,35,FS1,Laptop
AMD A6-3430MX APU,4,1448,822,45,FS1,Laptop
AMD A6-4400M APU,1,1010,1027,35,FS1r2,Laptop
AMD A6-4455M APU,1,797,788,17,FP2,Laptop
AMD A6-5200 APU,4,1663,664,25,FT3,Laptop
AMD A6-5345M APU,2,1122,1094,17,FP2,Laptop
AMD A6-5350M APU,2,1221,1226,35,FS1r2,Laptop
AMD A6-5357M APU,2,1165,1243,35,FP2,Laptop
AMD A6-6310 APU,4,1674,742,15,FT3,Laptop
AMD A6-7000 ,2,1010,857,17,FP3,Laptop
AMD A6-7310 APU,4,1724,775,25,Unknown,Laptop
AMD A6-8500P,2,1445,1253,15,BGA (FP4),Laptop
AMD A6-9200,2,1116,970,10,BGA,Laptop
AMD A6-9210,2,1248,1088,15,FP4,Laptop
AMD A6-9220,2,1283,1136,15,Unknown,Laptop
AMD A6-9220C,2,1053,995,6,FT4,Laptop
AMD A6-9220e,2,977,863,NA,Unknown,Laptop
AMD A6-9225,2,1333,1160,15,BGA (FT4),Laptop
AMD A6-9400,2,2717,1664,10,FT4,Laptop
AMD A8 PRO-7150B APU,4,1528,763,19,FP3,Laptop
AMD A8-3500M APU,4,1400,813,35,FS1,Laptop
AMD A8-3510MX APU,4,1631,898,45,FS1,Laptop
AMD A8-3520M APU,4,1441,844,35,FS1,Laptop
AMD A8-3530MX APU,4,1608,938,45,FS1,Laptop
AMD A8-3550MX APU,4,1687,962,45,FS1,Laptop
AMD A8-4500M APU,2,1688,918,35,FS1r2,Laptop
AMD A8-4555M APU,2,1331,789,19,FP2,Laptop
AMD A8-5545M APU,4,1567,832,19,FP2,Laptop
AMD A8-5550M APU,4,1869,1039,35,FS1r2,Laptop
AMD A8-5557M APU,4,1801,1037,35,FP2,Laptop
AMD A8-6410 APU,4,1772,783,15,BGA769 (FT3b),Laptop
AMD A8-7050,2,1152,945,15,Unknown,Laptop
AMD A8-7100 APU,4,1638,840,19,FP3,Laptop
AMD A8-7200P,4,2154,1054,35,FP3,Laptop
AMD A8-7410 APU,4,1817,804,25,Unknown,Laptop
AMD A8-7680,4,3546,1622,45,FM2+,Laptop
AMD A8-8600P,2,2464,1189,15,FP4,Laptop
AMD A9-9400,2,1329,1195,10,FP4,Laptop
AMD A9-9410,2,1522,1330,25,FP4,Laptop
AMD A9-9420,2,1498,1296,15,Unknown,Laptop
AMD A9-9420e,2,1107,962,NA,Unknown,Laptop
AMD A9-9425,2,1512,1319,15,BGA (FT4),Laptop
AMD Athlon 220GE,2,4432,1961,35,AM4,Laptop
AMD Athlon 300U,2,3867,1774,15,FP5,Laptop
AMD Athlon 64 X2 QL-60,2,652,654,35,S1,Laptop
AMD Athlon 64 X2 QL-62,2,525,623,35,S1,Laptop
AMD Athlon 64 X2 QL-64,2,624,731,35,S1,Laptop
AMD Athlon 64 X2 QL-65,2,637,681,35,S1,Laptop
AMD Athlon 64 X2 QL-66,2,641,751,35,S1,Laptop
AMD Athlon 64 X2 QL-67,2,582,515,35,S1,Laptop
AMD Athlon Gold 3150C,2,3292,1706,15,FP5,Laptop Mobile/Embedded
AMD Athlon Gold 3150U,2,3989,1761,15,FP5,Laptop
AMD Athlon Gold 7220U,2,4740,2094,15,FP6,Laptop
AMD Athlon Gold PRO 4150GE,4,8259,2384,35,FP6,Laptop
AMD Athlon II Dual-Core M300,2,670,776,35,Unknown,Laptop
AMD Athlon II Dual-Core M320,2,749,855,35,Unknown,Laptop
AMD Athlon II Dual-Core M340,2,807,858,35,Unknown,Laptop
AMD Athlon II N330 Dual-Core,2,665,813,35,Unknown,Laptop
AMD Athlon II N350 Dual-Core,2,767,945,35,Unknown,Laptop
AMD Athlon II N370 Dual-Core,2,899,913,35,S1g4,Laptop
AMD Athlon II Neo K125,1,315,616,12,S1,Laptop
AMD Athlon II Neo K145,1,298,592,12,S1,Laptop
AMD Athlon II Neo K325 Dual-Core,2,417,486,12,Unknown,Laptop
AMD Athlon II Neo K345 Dual-Core,2,527,552,12,Unknown,Laptop
AMD Athlon II Neo N36L Dual-Core,2,487,524,12,Unknown,Laptop
AMD Athlon II P320 Dual-Core,2,695,812,25,Unknown,Laptop
AMD Athlon II P340 Dual-Core,2,710,847,25,S1g4,Laptop
AMD Athlon II P360 Dual-Core,2,730,861,25,S1g4,Laptop
AMD Athlon PRO 300U,2,4080,1931,15,FP5,Laptop
AMD Athlon PRO 3045B,2,2618,1493,15,FP5,Laptop
AMD Athlon Silver 3050C,2,2879,1809,15,FP5,Laptop
AMD Athlon Silver 3050e,2,2939,1447,6,Unknown,Laptop
AMD Athlon Silver 3050GE,2,4545,2016,35,AM4,Laptop
AMD Athlon Silver 3050U,2,2993,1703,15,FP5,Laptop
AMD Athlon Silver 7120U,2,3126,1952,15,FP6,Laptop
AMD Athlon X2 Dual Core L310,2,329,395,13,S1,Laptop
AMD C-30,1,178,375,9,FT1,Laptop
AMD C-50,2,265,312,9,FT1,Laptop
AMD C-60 APU,2,316,357,9,Unknown,Laptop Mobile/Embedded
AMD C-70 APU,2,315,364,9,Unknown,Laptop Mobile/Embedded
AMD E-240,1,195,403,18,FT1,Laptop
AMD E-300 APU,2,339,394,18,FT1,Laptop
AMD E-350,2,421,485,18,FT1,Desktop Laptop
AMD E-350 APU,2,423,490,18,FT1 BGA,Desktop Laptop
AMD E-350D APU,2,486,523,18,Unknown,Laptop Mobile/Embedded
AMD E-450 APU,2,437,498,18,FT1,Laptop
AMD E1 Micro-6200T APU,2,600,498,3.95,FT3b,Laptop
AMD E1-1200 APU,2,380,430,18,FT1,Laptop
AMD E1-1500 APU,2,398,458,18,FT1,Laptop
AMD E1-2100 APU,2,406,322,9,FT3,Laptop
AMD E1-2200 APU,2,474,368,9,FT3,Laptop
AMD E1-2500 APU,2,593,454,15,FT3,Laptop
AMD E1-6010 APU,2,534,426,10,FT3b,Laptop
AMD E1-6015 APU,2,571,448,NA,BGA769 (FT3b),Laptop
AMD E1-7010 APU,2,593,484,10,BGA769 (FT3b),Laptop
AMD E2-2000 APU,2,496,538,18,BGA413FT1,Laptop
AMD E2-3000 APU,2,726,547,15,FT3,Laptop
AMD E2-3000M APU,2,668,731,35,FS1,Laptop
AMD E2-3800 APU,4,1152,436,15,FT3,Laptop
AMD E2-6110 APU,4,1128,474,15,AM1FT3b,Laptop
AMD E2-7015,2,637,491,NA,Unknown,Laptop
AMD E2-7015 APU,2,662,507,NA,Unknown,Laptop
AMD E2-7110 APU,4,1516,611,15,FP4 BGA,Laptop
AMD E2-9000,2,967,816,10,Unknown,Laptop
AMD E2-9000e,2,886,748,6,Unknown,Laptop
AMD E2-9010,2,1093,909,15,FP4,Laptop
AMD Embedded G-Series GX-215JJ Radeon R2E,2,1064,861,10,FP4,Laptop Mobile/Embedded
AMD Embedded G-Series GX-224IJ Radeon R4E,2,1271,1119,15,FP4,Laptop Mobile/Embedded
AMD Embedded G-Series GX-420GI Radeon R7E,4,1600,841,16.1,FP4,Laptop Mobile/Embedded
AMD Embedded R-Series RX-216GD,2,1628,1313,15,BGA (FP4),Laptop Mobile/Embedded
AMD Embedded R-Series RX-418GD Radeon R6,4,3426,1467,35,FP4,Laptop Mobile/Embedded
AMD Embedded R-Series RX-421BD,4,3302,1477,35,BGA (FP4),Laptop Mobile/Embedded
AMD FX-7500 APU,4,1967,973,19,FP3,Laptop
AMD FX-7600P,4,2582,1253,35,FP3,Laptop
AMD FX-7600P APU,4,2856,1436,35,FP3,Laptop
AMD FX-8800P,2,2851,1380,35,FP4,Laptop
AMD FX-9800P,4,2543,1228,15,Unknown,Laptop
AMD FX-9830P,4,3332,1582,35,FP4,Laptop
AMD G-T40E,2,289,313,6.4,FT1,Laptop
AMD G-T40N,2,299,323,9,FT1,Laptop
AMD G-T40R,1,120,327,5.5,FT1,Laptop
AMD G-T44R,1,120,302,9,FT1,Laptop
AMD G-T48E,2,427,457,18,FT1,Laptop
AMD G-T52R,1,177,381,18,FT1,Laptop
AMD G-T56E,2,442,522,18,FT1,Laptop
AMD G-T56N,2,484,528,18,FT1,Laptop
AMD GX-210JA SOC,2,248,231,6,FT3 (769-BGA),Laptop
AMD GX-212JC SOC ,2,646,452,6,FT3b,Laptop
AMD GX-217GA SOC,2,794,565,15,FT3 (769-BGA),Laptop
AMD GX-218GL SOC,2,754,627,15,BGA769 (FT3b),Laptop
AMD GX-222GC SOC,2,1044,783,15,BGA769 (FT3b),Laptop Mobile/Embedded
AMD GX-412HC,4,1095,414,7,FT3b,Laptop
AMD GX-415GA SOC,4,1417,515,15,FT3 (769-BGA),Laptop
AMD GX-420CA SOC,4,1785,677,25,FT3 (769-BGA),Laptop
AMD GX-420MC SOC,4,1796,695,17.5,FTB3b,Laptop
AMD GX-424CC SOC,4,1805,802,25,FT3b,Laptop
AMD Phenom II N620 Dual-Core,2,992,1092,35,S1,Laptop
AMD Phenom II N640 Dual-Core,2,965,1039,35,S1,Laptop
AMD Phenom II N660 Dual-Core,2,1083,1093,35,S1,Laptop
AMD Phenom II N830 3+1,4,1768,935,35,S1,Laptop
AMD Phenom II N830 Triple-Core,3,1222,823,35,S1,Laptop
AMD Phenom II N850 Triple-Core,3,1298,895,35,S1,Laptop
AMD Phenom II N870 Triple-Core,3,1324,900,35,S1,Laptop
AMD Phenom II N930 Quad-Core,4,1584,817,35,S1,Laptop
AMD Phenom II N950 Quad-Core,4,1587,859,35,S1,Laptop
AMD Phenom II N970 Quad-Core,4,1687,904,35,S1,Laptop
AMD Phenom II P650 Dual-Core,2,933,985,35,S1,Laptop
AMD Phenom II P820 Triple-Core,3,1068,717,25,S1,Laptop
AMD Phenom II P840 Triple-Core,3,1079,760,35,S1,Laptop
AMD Phenom II P860 Triple-Core,3,1250,831,35,S1,Laptop
AMD Phenom II P920 Quad-Core,4,1006,597,25,S1,Laptop
AMD Phenom II P940 Quad-Core,4,1319,679,35,S1,Laptop
AMD Phenom II P960 Quad-Core,4,1386,737,35,S1,Laptop
AMD Phenom II X620 Dual-Core,2,1262,1339,45,S1,Laptop
AMD Phenom II X920 Quad-Core,4,1669,944,45,S1,Laptop
AMD Phenom II X940 Quad-Core,4,1797,785,45,S1,Laptop
AMD PRO A10-8700B,2,2212,1122,15,BGA (FP4),Laptop
AMD PRO A10-8730B,4,2355,1187,15,FP4,Laptop
AMD PRO A10-9700B,4,2545,1294,15,FP4,Laptop
AMD PRO A12-8800B,2,2580,1315,15,FP4,Laptop
AMD PRO A12-8830B,4,2564,1351,15,BGA (FP4),Laptop
